file.name,registry.hive,registry.key,registry.path,registry.value,last_write_time
2008_01_30_1341_00_952_c323d72ebb158620615bd1cfc71f84d6_system,SYSTEM,ControlSet001\Control\TimeZoneInformation,ControlSet001\Control\TimeZoneInformation\ActiveTimeBias,480,2008-01-30 05:33:45Z
2008_01_30_1409_49_671_d0e1d44780a907278b2e90e80354709f__REGISTRY_MACHINE_SYSTEM,SYSTEM,ControlSet001\Control\TimeZoneInformation,ControlSet001\Control\TimeZoneInformation\ActiveTimeBias,480,2008-01-31 04:32:17Z
2008_01_30_1451_23_562_74a40dbabc7cdf57e69a3bad8224168c_system,SYSTEM,ControlSet001\Control\TimeZoneInformation,ControlSet001\Control\TimeZoneInformation\ActiveTimeBias,480,2008-01-31 04:32:17Z
2008_01_31_0433_10_574_7e7dd5025d9bbd25683b0c6358b28f30__REGISTRY_MACHINE_SYSTEM,SYSTEM,ControlSet001\Control\TimeZoneInformation,ControlSet001\Control\TimeZoneInformation\ActiveTimeBias,480,2008-01-31 04:32:17Z
2008_01_31_0443_38_390_e68be1fccf3c8ff44be81bf8bd9ea10b__REGISTRY_MACHINE_SYSTEM,SYSTEM,ControlSet001\Control\TimeZoneInformation,ControlSet001\Control\TimeZoneInformation\ActiveTimeBias,480,2008-01-31 04:32:17Z
2008_01_30_1341_00_952_c323d72ebb158620615bd1cfc71f84d6_system,SYSTEM,ControlSet001\Control\ComputerName\ComputerName,ControlSet001\Control\ComputerName\ComputerName\ComputerName,ACME-N6A1H8ZLJ1,2008-01-30 13:33:45Z
2008_01_30_1409_49_671_d0e1d44780a907278b2e90e80354709f__REGISTRY_MACHINE_SYSTEM,SYSTEM,ControlSet001\Control\ComputerName\ComputerName,ControlSet001\Control\ComputerName\ComputerName\ComputerName,ACME-N6A1H8ZLJ2,2008-01-30 13:33:45Z
2008_01_30_1451_23_562_74a40dbabc7cdf57e69a3bad8224168c_system,SYSTEM,ControlSet001\Control\ComputerName\ComputerName,ControlSet001\Control\ComputerName\ComputerName\ComputerName,ACME-N6A1H8ZLJ3,2008-01-30 13:33:45Z
2008_01_31_0433_10_574_7e7dd5025d9bbd25683b0c6358b28f30__REGISTRY_MACHINE_SYSTEM,SYSTEM,ControlSet001\Control\ComputerName\ComputerName,ControlSet001\Control\ComputerName\ComputerName\ComputerName,ACME-N6A1H8ZLJ4,2008-01-30 13:33:45Z
2008_01_31_0443_38_390_e68be1fccf3c8ff44be81bf8bd9ea10b__REGISTRY_MACHINE_SYSTEM,SYSTEM,ControlSet001\Control\ComputerName\ComputerName,ControlSet001\Control\ComputerName\ComputerName\ComputerName,ACME-N6A1H8ZLJ5,2008-01-30 13:33:45Z
2008_01_30_1341_00_952_c323d72ebb158620615bd1cfc71f84d6_system,SYSTEM,ControlSet001\Control\Windows,ControlSet001\Control\Windows\ShutdownTime,2008-01-30 13:37:52Z,2008-01-30 13:37:52Z
2008_01_30_1409_49_671_d0e1d44780a907278b2e90e80354709f__REGISTRY_MACHINE_SYSTEM,SYSTEM,ControlSet001\Control\Windows,ControlSet001\Control\Windows\ShutdownTime,2008-01-30 13:59:11Z,2008-01-30 13:59:11Z
2008_01_30_1451_23_562_74a40dbabc7cdf57e69a3bad8224168c_system,SYSTEM,ControlSet001\Control\Windows,ControlSet001\Control\Windows\ShutdownTime,2008-01-30 14:51:23Z,2008-01-30 14:51:23Z
2008_01_31_0433_10_574_7e7dd5025d9bbd25683b0c6358b28f30__REGISTRY_MACHINE_SYSTEM,SYSTEM,ControlSet001\Control\Windows,ControlSet001\Control\Windows\ShutdownTime,2008-01-30 13:37:52Z,2008-01-30 13:37:52Z
2008_01_31_0443_38_390_e68be1fccf3c8ff44be81bf8bd9ea10b__REGISTRY_MACHINE_SYSTEM,SYSTEM,ControlSet001\Control\Windows,ControlSet001\Control\Windows\ShutdownTime,2008-01-31 04:33:52Z,2008-01-31 04:33:52Z
2008_01_30_1341_00_952_c323d72ebb158620615bd1cfc71f84d6_system,SYSTEM,Select\Current,Select\Current\Current,1,2008-01-30 05:31:08Z
2008_01_30_1409_49_671_d0e1d44780a907278b2e90e80354709f__REGISTRY_MACHINE_SYSTEM,SYSTEM,Select\Current,Select\Current\Current,1,2008-01-30 13:41:52Z
2008_01_30_1451_23_562_74a40dbabc7cdf57e69a3bad8224168c_system,SYSTEM,Select\Current,Select\Current\Current,1,2008-01-30 13:41:52Z
2008_01_31_0433_10_574_7e7dd5025d9bbd25683b0c6358b28f30__REGISTRY_MACHINE_SYSTEM,SYSTEM,Select\Current,Select\Current\Current,1,2008-01-30 13:41:52Z
2008_01_31_0443_38_390_e68be1fccf3c8ff44be81bf8bd9ea10b__REGISTRY_MACHINE_SYSTEM,SYSTEM,Select\Current,Select\Current\Current,1,2008-01-30 13:41:52Z
2008_01_30_1341_00_952_c323d72ebb158620615bd1cfc71f84d6_system,SYSTEM,Select\Current,Select\Current\LastKnownGood,1,2008-01-30 05:31:08Z
2008_01_30_1409_49_671_d0e1d44780a907278b2e90e80354709f__REGISTRY_MACHINE_SYSTEM,SYSTEM,Select\Current,Select\Current\LastKnownGood,2,2008-01-30 13:41:52Z
2008_01_30_1451_23_562_74a40dbabc7cdf57e69a3bad8224168c_system,SYSTEM,Select\Current,Select\Current\LastKnownGood,2,2008-01-30 13:41:52Z
2008_01_31_0433_10_574_7e7dd5025d9bbd25683b0c6358b28f30__REGISTRY_MACHINE_SYSTEM,SYSTEM,Select\Current,Select\Current\LastKnownGood,2,2008-01-30 13:41:52Z
2008_01_31_0443_38_390_e68be1fccf3c8ff44be81bf8bd9ea10b__REGISTRY_MACHINE_SYSTEM,SYSTEM,Select\Current,Select\Current\LastKnownGood,2,2008-01-30 13:41:52Z
2008_01_30_1341_00_952_c323d72ebb158620615bd1cfc71f84d6_system,SYSTEM,ControlSet001\Services\Tcpip\Parameters\Interfaces\{913A2AFB-3310-4AD4-A4E5-37B36D18DE18},ControlSet001\Services\Tcpip\Parameters\Interfaces\{913A2AFB-3310-4AD4-A4E5-37B36D18DE18}\DhcpIPAddress,192.168.1.108,2008-01-30 13:38:51Z
2008_01_30_1409_49_671_d0e1d44780a907278b2e90e80354709f__REGISTRY_MACHINE_SYSTEM,SYSTEM,ControlSet001\Services\Tcpip\Parameters\Interfaces\{913A2AFB-3310-4AD4-A4E5-37B36D18DE18},ControlSet001\Services\Tcpip\Parameters\Interfaces\{913A2AFB-3310-4AD4-A4E5-37B36D18DE18}\DhcpIPAddress,192.168.1.108,2008-01-30 14:03:47Z
2008_01_30_1451_23_562_74a40dbabc7cdf57e69a3bad8224168c_system,SYSTEM,ControlSet001\Services\Tcpip\Parameters\Interfaces\{913A2AFB-3310-4AD4-A4E5-37B36D18DE18},ControlSet001\Services\Tcpip\Parameters\Interfaces\{913A2AFB-3310-4AD4-A4E5-37B36D18DE18}\DhcpIPAddress,192.168.1.108,2008-01-30 14:47:08Z
